tradeTime,price,livingRoom,drawingRoom,bathRoom,floor
2011-01-04,34634.0,1.0,1.0,1.0,1.0
2011-01-14,26641.0,1.0,1.0,1.0,1.0
2011-02-16,36000.0,1.0,1.0,1.0,1.0
2011-05-31,4.710545450472632e+18,277.75,277.75,277.75,277.75
2011-06-04,27457.0,1.0,1.0,1.0,1.0
2011-06-08,36646.0,1.0,1.0,1.0,1.0
2011-06-09,19691.0,1.0,1.0,1.0,1.0
2011-06-11,26511.0,1.0,1.0,1.0,1.0
2011-06-14,17192.0,1.0,1.0,1.0,1.0
2011-06-20,45122.0,1.0,1.0,1.0,1.0
2011-06-23,1062271167.5,5.5,5.5,5.5,5.5
2011-06-24,27801.0,1.0,1.0,1.0,1.0
2011-06-26,21163.0,1.0,1.0,1.0,1.0
2011-06-30,1033515294.5,5.5,5.5,5.5,5.5
2011-07-01,862418529.5,5.5,5.5,5.5,5.5
2011-07-03,1245962179.5,5.5,5.5,5.5,5.5
2011-07-04,1127008904.5,5.5,5.5,5.5,5.5
2011-07-05,44289.0,1.0,1.0,1.0,1.0
2011-07-07,90237480473204.33,37.0,37.0,37.0,37.0
2011-07-08,111030913577302.0,37.0,37.0,37.0,37.0
2011-07-09,1391006994.0,5.5,5.5,5.5,5.5
2011-07-10,87190883073307.33,37.0,37.0,37.0,37.0
2011-07-11,1631217981.0,5.5,5.5,5.5,5.5
2011-07-12,22200.0,1.0,1.0,1.0,1.0
2011-07-13,13511.0,1.0,1.0,1.0,1.0
2011-07-14,1235315045.5,5.5,5.5,5.5,5.5
2011-07-15,8.904339730912733e+18,277.75,277.75,277.75,277.75
2011-07-16,60920.0,1.0,1.0,1.0,1.0
2011-07-17,939817209.5,5.5,5.5,5.5,5.5
2011-07-18,794818902.5,5.5,5.5,5.5,5.5
2011-07-19,29967.0,1.0,1.0,1.0,1.0
2011-07-20,30291.0,1.0,1.0,1.0,1.0
2011-07-21,35114.0,1.0,1.0,1.0,1.0
2011-07-22,106271083812142.33,37.0,37.0,37.0,37.0
